address,district,floorArea,landmark,name,price
犀浦泰山北街一号,郫都,48,犀浦,乐视界广场,9000
益州大道北段388号,高新,66,城南宜家,明宇南御,17000
益州大道与伏龙北巷交汇处,天府新区,257,华阳,滨江天樾,19900
科兴路东段443号,温江,42,温江大学城,悦彩广场,10000
校园路东段188号,郫都,118,犀浦,华邑宸居,17000
蜀龙大道南段777号,新都,unknown,毗河,佳乐国际城四期,15000
温江区公平镇春江路(成都市农林科学院旁),温江,122,国色天乡,合能枫丹西悦,8600
都江堰大道398号,都江堰,122,都江堰,优品道锦樾,8950
观东三街158号,高新,109,中德,德商御璟天骄,25000
益州大道与伏龙北巷交汇处,天府新区,unknown,华阳,滨江天樾,50000
安德镇彭温路203号,郫都,208,郫县城区,杜鹃城千万间,9000
正兴镇大安路1458号,天府新区,unknown,锦江生态带,和泓麓江府,40000
崇州市街子镇三街路368号,崇州,194,崇州,郡源山外山,13000
花源镇东篱路100号,新津,94,新津,龙光玖龙府,10356
太极大道66号,温江,94,温江大学城,东原阅墅,8600
犀浦镇犀安路666号,郫都,12,犀浦,滨江两岸,28000
天府大道与华府大道交汇处,天府新区,unknown,华阳,蓝润ISC,30000
梓州大道置富广场,天府新区,unknown,麓山,置富广场,27500
梓州大道置富广场,天府新区,unknown,麓山,置富广场,27500
青云路中交牧山美庐,新津,112,新津,中交牧山美庐,12000
万东路466号,天府新区,45,麓山,海伦天麓,9800
柳城街办燎原社区八组新华社区一组区,温江,unknown,温江新城,悦天地商厦,12500
金堂县会馆路6号,金堂,129,金堂,中国会馆,8600
天府大道永兴.滨湖一号,天府新区南区,126,仁寿,永兴.滨湖一号,9900
华府大道三段300号,双流,unknown,华府,棠湖泊林城,18500
峨眉山路369号,成华,unknown,东客站,佳年华广场一期,13500
柳林路99号,温江,38,温江老城,欧郡公馆,8000
晋阳路1488号,武侯,226,簇桥,龙湖天宸原著,25000
光华南一路255号,青羊,unknown,万家湾,远洋朗基香汇,45000
晋阳路1488号,武侯,38,簇桥,龙湖天宸原著,16500
晋阳路1488号,武侯,unknown,簇桥,龙湖天宸原著,45000
天府仁寿大道圆中大溪地,天府新区南区,120,仁寿,圆中大溪地,13000
名都路166号,高新,unknown,金融城,中铁信托大厦,20000
韩滩路46号,金堂,unknown,金堂,万邦悦城,20000
新都大道（成都医学院旁）,新都,unknown,新都城区,和信香榭澜郡,12000
迎宾大道永兴.一品,天府新区南区,102,仁寿,永兴·一品,8250
仁寿大道美的云溪郡,天府新区南区,131,仁寿,美的云溪郡,9400
仁寿大道美的云溪郡,天府新区南区,146,仁寿,美的云溪郡,15068
凤溪大道778号,温江,50,温江大学城,恒大名城,12000
仁寿县视高产业园区清水镇天府大道60号,天府新区南区,unknown,仁寿,朗基香颂天府,27000
九江街道马家寺社区,双流,unknown,蛟龙港,蜀镇尚楠湾,12800
同安街办幸福路99号,龙泉驿,90,阳光城,林溪康城,8200
成都市都江堰市青外江大桥与青城山大道交汇处(玉堂LG博爱中学旁),都江堰,108,都江堰,成都文旅城,9000
正兴镇大安路1458号,天府新区,unknown,锦江生态带,和泓麓江府,27000
二环与蓉北商贸大道交界处（城北客运站中心对面）,金牛,31,五块石,中铁瑞景汇中心,14000
视高镇花海大道一段3号,仁寿县,28,仁寿县,西蜀桦苑,10500
仁寿县龙正镇椰江村,仁寿县,119,仁寿县,龙城1号,4800
广汉市韶山路5段69号,广汉市,98,广汉市,金雁欢乐水岸,8500
文忠街北延段89号,东坡区,97,宏远百货,凯丽新城,7800
阜成路万景進园,东坡区,100,宏远百货,万景進园,9000
三段华西路80号,彭山区,110,彭山区,北湖春天,7000
绥山镇城北路89号,峨眉山市,70,峨眉山市,阳光维多利亚,7300
成灌路与和心路交汇处（后花园对面）,郫都,unknown,成外,朗基御香,36000
仁寿县视高镇奋勇社区景观大道,仁寿县,108,仁寿县,家园佳居,10250
东城新区东溪,简阳,unknown,河东新区,东城国际(简阳),26000
东城新区东溪,简阳,unknown,河东新区,东城国际(简阳),26000
龙华路东侧三盛都会城,龙泉驿,unknown,东山,三盛都会城,20000
龙华路东侧三盛都会城,龙泉驿,unknown,东山,三盛都会城,8000
驿都大道中路900号（龙泉驿世纪广场旁）,龙泉驿,unknown,龙泉驿城区,驿都城,36000
新园大道8号,高新,unknown,市一医院,雄飞新园紫郡,30000
外环路158号,雁江区,118,雁江区,筑鼎凯旋国际,8800
南湖公园南侧中海名城,东坡区,94,宏远百货,中海名城,7300
大雅街北二段一号,东坡区,118,宏远百货,王府井绿洲郡,8500
名山南路峨眉见山府,峨眉山市,50,峨眉山市,峨眉见山府,11000
温泉大道1号,峨眉山市,142,峨眉山市,桃李春风,55000
铁环东路阳光珑悦台,东坡区,84,眉山东站,阳光珑悦台,8300
剑南大道复地天府湾,彭山区,104,彭山区,复地天府湾,8300
铁环路太行瑞宏锦悦府,东坡区,102,眉山东站,锦悦府,6500
滨江大道南湖世家,东坡区,229,宏远百货,南湖世家,8900
东坡区阜成路东段北侧,东坡区,78,宏远百货,鹭湖云锦台,11000
联通路大城小院,东坡区,100,宏远百货,大城小院,7800
武青西一路399号,武侯,132,草金立交,美泉悦府,13000
永丰路7号（衣冠庙地铁口B出口）,高新,unknown,芳草,和雅嘉御,80000
文安西路锦泰金樽未来城,东坡区,71,眉山东站,锦泰金樽未来城,8800
梓州大道4333号,高新,70,远大,长冶南阳御龙府,10699
高攀路36-8号,武侯,145,火车南站,保利天悦,25000
赵镇金山路1号（金堂中学外国语实验学校对面）,金堂,128,金堂,金山郡,6850
顺江路335号（望江公园和川大旁）,锦江,176,莲花,阿玛尼艺术公寓,19886
凤凰西七路28号,青白江,104,青白江,实地海棠名著,9500
聚青路169号,都江堰,64,都江堰,蓝光青城河谷国际度假区,12000
四川省成都市都江堰市玉堂镇鑫玉大道（铁军路附近）,都江堰,78,都江堰,明宇豪雅青城,10000
华金大道三段55号（大弯中学旁）,青白江,106,青白江,凤凰名城,7300
崔家店路与跳蹬河路交汇处（崔家店路418号）,成华,unknown,万年场,成华奥园广场三期,53000
蓉都大道南四段,新都,unknown,毗河,华都九龙广场,28000
校园路129号,郫都,184,犀浦,西郡兰庭,10000
花明路129号,温江,127,光华大道沿线,中南上熙府熙悦,16500
驿都大道与国槐街交汇处,锦江,156,蓝谷地,滨江樾府,17500
光华大道光华南二路238号（树德中学旁）,青羊,unknown,万家湾,国一梦巢,49000
望丛中路与蜀信路交汇处,郫都,58,郫县城区,成都鑫苑城,9500
视高产业园区清水镇天府大道60号,天府新区南区,122,仁寿,朗基香颂天府,13200
华金大道3段1号金龙广场,青白江,128,青白江,金龙广场,7500
三星镇三星镇学府大道555号（四川天一学院旁）,金堂,106,金堂,希望未来城,6300
二仙桥北路3号,成华,unknown,理工大,交大归谷建设派,15000
川大路二段1号（四川大学江安校区旁）,双流,423,文星镇,融创长滩壹号,15700
南湖北路121号,天府新区,111,南湖,南湖世纪,13000
百仁生态区内（三环路西四段）,青羊,226,外金沙,太行朗诗金沙城,20000
金府路666号,温江,84,温江大学城,中房芳华美地,7000
麓山大道二段19号,天府新区,398,雅居乐,雅居乐富春山居,19000
空港一路一段189号 （空港一路一段与文星正街交汇处）,双流,86,文星镇,合力达卓越南城,11000
北星大道与大天路交汇处,新都,110,大丰,保利大都汇,11300
成都市都江堰市青外江大桥与青城山大道交汇处(玉堂LG博爱中学旁),都江堰,131,都江堰,成都文旅城,16000
南湖大道333号,天府新区,148,南湖,远大中央公园,13500
